jiedao_mc,jiedao_dm,wkt
罗泾镇,,"MULTIPOLYGON(((121.34709 31.504588,121.349789 31.503945,121.349909 31.504155,121.350371 31.504094,121.350347 31.503799,121.351535 31.503501,121.354863 31.502688,121.354963 31.502769,121.355064 31.502988,121.35669 31.502353,121.356904 31.50263,121.357004"
吴淞码头治安派出所,"310113730000","MULTIPOLYGON(((121.501797 31.37624,121.501832 31.376116,121.501804 31.375833,121.50147 31.375965,121.500967 31.376184,121.500952 31.376063,121.50092 31.375941,121.500846 31.375658,121.500831 31.375479,121.500819 31.375435,121.500814 31.37538,121.500831 3"
高境镇,,"MULTIPOLYGON(((121.486233 31.333946,121.491849 31.330713,121.492026 31.330891,121.492181 31.331045,121.493461 31.330327,121.493609 31.330288,121.496128 31.328886,121.496353 31.328726,121.496866 31.328457,121.497665 31.328127,121.498145 31.327118,121.4981"
机场派出所,"310113580000","MULTIPOLYGON(((121.412122 31.338414,121.412865 31.334497,121.4129 31.334503,121.413439 31.334588,121.413504 31.334598,121.413611 31.33417,121.41329 31.3341,121.412956 31.334027,121.412961 31.334005,121.413266 31.332628,121.413325 31.332361,121.41341 31.3"
淞南镇,,"MULTIPOLYGON(((121.485684 31.362087,121.486287 31.361351,121.486354 31.361401,121.486354 31.361401,121.486354 31.361401,121.486493 31.361259,121.486848 31.360735,121.487136 31.36018,121.487549 31.3587,121.489346 31.359352,121.490266 31.35953,121.490266 3"
庙行镇,,"MULTIPOLYGON(((121.43653 31.342903,121.437947 31.339613,121.44158 31.331178,121.442085 31.330069,121.444829 31.323823,121.444831 31.323819,121.445143 31.323108,121.446456 31.320214,121.446473 31.320176,121.446048 31.320078,121.445839 31.320031,121.445317"
宝钢治安派出所,"310113740000","MULTIPOLYGON(((121.447722 31.441113,121.453764 31.435711,121.456423 31.436563,121.461181 31.43242,121.478924 31.42187,121.47877 31.421356,121.479031 31.420737,121.474833 31.418142,121.474121 31.41862,121.473884 31.418263,121.47424 31.41731,121.474809 31."
大场镇,,"MULTIPOLYGON(((121.410181 31.322509,121.411192 31.319719,121.411193 31.319717,121.411194 31.319715,121.41133 31.318906,121.41145 31.317523,121.412318 31.316153,121.412378 31.316054,121.412392 31.316031,121.412832 31.310984,121.412948 31.309654,121.413113"
杨行镇,,"MULTIPOLYGON(((121.470356 31.40753,121.470893 31.405858,121.470913 31.405795,121.471626 31.403958,121.471903 31.403246,121.472074 31.402635,121.47253 31.401018,121.473578 31.398818,121.474837 31.397418,121.474878 31.397372,121.474873 31.396915,121.474797"
月浦镇,,"MULTIPOLYGON(((121.440041 31.408136,121.440041 31.405645,121.439594 31.405092,121.439548 31.405034,121.43961 31.404839,121.438845 31.404607,121.438807 31.404512,121.436683 31.404048,121.436642 31.404236,121.436636 31.404262,121.436531 31.404724,121.43596"
罗店镇,,"MULTIPOLYGON(((121.387308 31.417317,121.385557 31.417149,121.38496 31.417165,121.384897 31.417165,121.384865 31.417165,121.385001 31.416301,121.38442 31.416035,121.384293 31.415986,121.384458 31.415019,121.384407 31.414997,121.384214 31.414913,121.383986"
顾村镇,,"MULTIPOLYGON(((121.389497 31.375742,121.390319 31.374405,121.390331 31.374386,121.38864 31.373504,121.386758 31.371646,121.386436 31.371445,121.38376 31.369774,121.381629 31.368759,121.381086 31.368085,121.378693 31.366247,121.376137 31.364284,121.378651"
友谊街道,,"MULTIPOLYGON(((121.505952 31.395578,121.506451 31.395076,121.506797 31.394678,121.506773 31.394553,121.506758 31.394481,121.506181 31.393614,121.506117 31.393563,121.506094 31.393531,121.505193 31.395104,121.499503 31.393122,121.496979 31.39199,121.49476"
吴淞街道,,"MULTIPOLYGON(((121.48412 31.387802,121.485075 31.386312,121.485077 31.386314,121.485137 31.386355,121.485273 31.386447,121.48627 31.384843,121.487091 31.383515,121.487375 31.383056,121.487873 31.382249,121.4879 31.382207,121.487904 31.382201,121.487913 3"
张庙街道,,"MULTIPOLYGON(((121.462542 31.327019,121.455489 31.326929,121.455447 31.328152,121.455436 31.328459,121.455412 31.328984,121.455369 31.329957,121.455315 31.331057,121.455163 31.331609,121.45493 31.332224,121.454352 31.333222,121.453981 31.333863,121.45332"
